product_name,price,rating,stock_status,product_url,scraped_at
Cassette Gold (Phone Case) iPhone Tough Case,$36.11,N/A,In Stock,https://www.redbubble.com/i/iphone-case/Cassette-Gold-Phone-Case-by-maximiliansan/28067295/3bp7,2026-08-05T12:10:37.395770
Calvin and Hobbes Stars iPhone Tough Case,$36.11,N/A,In Stock,https://www.redbubble.com/i/iphone-case/Calvin-and-Hobbes-Stars-by-haychis/80978620/3bp7,2026-08-05T12:10:37.447689
Space Turtles iPhone Tough Case,$36.11,N/A,In Stock,https://www.redbubble.com/i/iphone-case/Space-Turtles-by-Vierkant/12749033/3bp7,2026-08-05T12:10:37.498753
Black and White Tortoiseshell Pattern iPhone Tough Case,$45.74,N/A,In Stock,https://www.redbubble.com/i/iphone-case/Black-and-White-Tortoiseshell-Pattern-by-trajeado14/162795659/3bp7,2026-08-05T12:10:37.550218
black leopard print iPhone Tough Case,$36.11,N/A,In Stock,https://www.redbubble.com/i/iphone-case/black-leopard-print-by-gossiprag/48950734/3bp7,2026-08-05T12:10:37.598809
Glitterwolf Acrylic Painting iPhone Tough Case,$37.61,N/A,In Stock,https://www.redbubble.com/i/iphone-case/Glitterwolf-Acrylic-Painting-by-cloudsover31/26160761/3bp7,2026-08-05T12:10:37.662500
Too Many Birds! Bird Squad Classic iPhone Tough Case,$36.41,N/A,In Stock,https://www.redbubble.com/i/iphone-case/Too-Many-Birds-Bird-Squad-Classic-by-MaddeMichael/24131039/3bp7,2026-08-05T12:10:37.741248
Fireflies iPhone Tough Case,$51.15,N/A,In Stock,https://www.redbubble.com/i/iphone-case/Fireflies-by-katherineblower/79658965/3bp7,2026-08-05T12:10:37.838752
Wilderness iPhone Tough Case,$36.14,N/A,In Stock,https://www.redbubble.com/i/iphone-case/Wilderness-by-Ngea/31505447/3bp7,2026-08-05T12:10:37.903401
Dragonfly Haze iPhone Tough Case,$39.12,N/A,In Stock,https://www.redbubble.com/i/iphone-case/Dragonfly-Haze-by-lyndseyart/7551072/3bp7,2026-08-05T12:10:37.965308
Rainbow Books Shelf Pattern (Black Background) iPhone Tough Case,$37.01,N/A,In Stock,https://www.redbubble.com/i/iphone-case/Rainbow-Books-Shelf-Pattern-Black-Background-by-rubyandpearl/81521459/3bp7,2026-08-05T12:10:38.030414
The Ca’boose iPhone Tough Case,$33.10,N/A,In Stock,https://www.redbubble.com/i/iphone-case/The-Ca-boose-by-co0o0ol500/182600407/3bp7,2026-08-05T12:10:38.116798
Cute Swimming Axolotls Pattern iPhone Tough Case,$35.21,N/A,In Stock,https://www.redbubble.com/i/iphone-case/Cute-Swimming-Axolotls-Pattern-by-rustydoodle/120244341/3bp7,2026-08-05T12:10:38.180488
Monochrome green watercolour shark ocean on very dark green iPhone Tough Case,$36.11,N/A,In Stock,https://www.redbubble.com/i/iphone-case/Monochrome-green-watercolour-shark-ocean-on-very-dark-green-by-adenaJ/171225579/3bp7,2026-08-05T12:10:38.239751
The Great Solar War iPhone Tough Case,$37.61,N/A,In Stock,https://www.redbubble.com/i/iphone-case/The-Great-Solar-War-by-Space-Command/182066165/3bp7,2026-08-05T12:10:38.304286
Memphis Pattern 34 - Retro 90s / 80s iPhone Tough Case,$36.11,N/A,In Stock,https://www.redbubble.com/i/iphone-case/Memphis-Pattern-34-Retro-90s-80s-by-GraphicWave/137635669/3bp7,2026-08-05T12:10:38.363052
Raven pattern 2 iPhone Tough Case,$39.12,N/A,In Stock,https://www.redbubble.com/i/iphone-case/Raven-pattern-2-by-freeminds/41443719/3bp7,2026-08-05T12:10:38.424827
Modern Retro Liquid Swirl Fluid Abstract Bold Red and Pink iPhone Tough Case,$36.11,N/A,In Stock,https://www.redbubble.com/i/iphone-case/Modern-Retro-Liquid-Swirl-Fluid-Abstract-Bold-Red-and-Pink-by-kierkegaard/166187646/3bp7,2026-08-05T12:10:38.486347
Library Kitten Wars iPhone Tough Case,$36.11,N/A,In Stock,https://www.redbubble.com/i/iphone-case/Library-Kitten-Wars-by-TaylorRoss1/60451080/3bp7,2026-08-05T12:10:38.552109
Niko | OneShot | Modern Graphic Design iPhone Tough Case,$36.08,N/A,In Stock,https://www.redbubble.com/i/iphone-case/Niko-OneShot-Modern-Graphic-Design-by-Eroshi/164704118/3bp7,2026-08-05T12:10:38.615903
"In a galaxy far, far away iPhone Tough Case",$34.60,N/A,In Stock,https://www.redbubble.com/i/iphone-case/In-a-galaxy-far-far-away-by-mensijazavcevic/30885919/3bp7,2026-08-05T12:10:38.679618
Gateway Galaxy iPhone Tough Case,$36.11,N/A,In Stock,https://www.redbubble.com/i/iphone-case/Gateway-Galaxy-by-MalMakes/95098567/3bp7,2026-08-05T12:10:38.746353
Midnight Floral iPhone Tough Case,$39.12,N/A,In Stock,https://www.redbubble.com/i/iphone-case/Midnight-Floral-by-nouveaubohemian/26296477/3bp7,2026-08-05T12:10:38.818078
The Meeting of the Fox and Wish Spirit iPhone Tough Case,$37.91,N/A,In Stock,https://www.redbubble.com/i/iphone-case/The-Meeting-of-the-Fox-and-Wish-Spirit-by-TeaKitsune/13136739/3bp7,2026-08-05T12:10:38.889539
Twilight Unicorns iPhone Tough Case,$39.12,N/A,In Stock,https://www.redbubble.com/i/iphone-case/Twilight-Unicorns-by-tanaudel/47488078/3bp7,2026-08-05T12:10:38.955807
